연번,제목,본문
1,국가공무원 채용시험을 준비하는 수험생들이 참고할 만한 공직 안내서가 있나요?,"인사혁신처에서는 공무원 채용시험의 출제 절차, 합격 후 임용까지의 절차, 승진·보수·복무와 같은 각종 공무원 인사제도 등 수험생들이 궁금해하는 공직에 대한 전반적인 안내를 위해 <공무원 시험 수험생을 위한 공직 안내서>를 발간하였습니다. 첨부된 자료를 참고하시기 바랍니다."
2,[합격자 알림서비스] 국민비서 국가공무원 합격자 알림서비스 신청은 어떻게 하나요?,"국민비서 홈페이지에서 ""국가공무원 공개경쟁채용시험"" 알림서비스를 신청(하단이미지 참조) 하시면 국가공무원 채용시험 합격자분들에 한하여 합격자 알림서비스가 제공됩니다.  ※ 국민비서 국가공무원 채용시험 합격자 알림서비스 신청을 원하시는 수험생분들께서는 아래 사이트에서 알림서비스 가입을 진행하시기 바랍니다."
3,[가산대상 자격증] 직렬별 가산대상 자격증 종류는 어디서 확인할 수 있나요?,"직렬별 가산대상 자격증의 종류는 ""공무원임용시험령"" 별표11, 12에서 확인할 수 있습니다."
4,원서접수시 따로 유의해야 할 사항들이 있을까요? ,"응시수수료까지 결제했는데 응시원서가 제대로 접수된게 맞는지 불안하시죠? [국가공무원채용시스템]-[원서접수]-[응시원서 확인] 화면에서 결제여부가 ‘결제완료’라고 표기되어 있다면응시원서가 제대로 접수된 것이니 안심하셔도 됩니다. 참고로 접수기간이 종료된 후에는 어떠한 경우에도 추가 접수가 불가능할 뿐만 아니라응시직렬, 응시지역, 선택과목, 지방인재 여부 등에 대한 수정 또한 불가능하니 원서접수 시에 신중하게 선택해 주시기 바랍니다."
5,친구랑 동시에 접수하면 수험번호가 앞·뒤로 배치되나요?,응시원서 취소기간이 종료되고 원서접수를 한 총인원이 확정되면 수험생 개개인에게 응시번호를 부여합니다. 응시번호는 부정행위를 방지하는 차원에서 전산을 통해 무작위로 부여되기 때문에 친구와 연달아 원서를 접수했더라도 응시번호를 연속으로 부여받을 가능성은 없습니다.
6,원서접수 이후에 개명이 될 것 같은데 어떻게 해야 할까요?,"1. 원서접수 전에 개명을 했고 주민등록에도 새 성명을 사용하고 있으면 원서제출을 새 성명으로 할 수 있습니다. * 2019년 7월부터 국가공무원채용시스템의 회원정보 중 성명 직접 변경 가능   마이페이지 > 개인정보수정 메뉴에서 맨 아래의 [개명신청]을 클릭하면 됩니다.   ** 주민등록번호가 변경된 경우에는 국가공무원채용시스템 콜센터(1800-6634)로 전화주시기 바랍니다.   2. 원서제출에 사용하는 성명은 주민등록에 있는 성명을 사용합니다. 개명에 관한 법원의 결정통지를 받았다고 하더라도 개명신고(법원 전자가족관계등록시스템 또는 시(구)·읍·면에 신고)를 하지 않아 주민등록에 새 성명으로 개명되지 않았다면 이전 성명을 원서에 사용해야 합니다.   * 원서작성 단계에서 실명확인을 거침  3. 원서제출 이후에 개명신고가 처리된 경우 유의사항   가. 필기시험장에는 새 신분증(주민등록증 또는 주민등록증 발급신청 확인서)과 성명정정을 확인할 수 있는 주민등록초본을    지참하셔야 합니다.   * 시험 중 본인확인 시간에 감독관에게 개명했다고 말씀하시고 초본을 제시하면 됩니다.   나. 합격자 발표 이후 합격자의 성명을 정정할 수 있습니다.  * 홈페이지 > 시험통계/자료실 > 증명/서식에서 ""응시원서 기재사항 정정신청서""를 내려 받아   홈페이지 > 마이페이지 > 증빙서류 제출 페이지에 등록    * 성명 또는 주민등록번호 변경 여부는 담당자가 행정정보 공동이용(주민등록초본)으로 확인한 후 처리하고 있습니다.  담당자의 주민등록초본 열람을 원하지 않으시면, 서식 중 ""부동의""를 선택하시고 이 신청서와 주민등록초본을  등기우편으로 발송해 주시기 바랍니다. (홈페이지 하단 주소 참조)  ** 유의사항 **   합격자 발표 이후 면접시험일까지도 시험장에서 사용하는 응시자관리표 등에는 성명정정이 반영되지 않을 수 있습니다. 이 경우에 대비하여 면접시험 등 최종시험까지는 시험장에 새 신분증 외에 주민등록초본을 반드시 지참하시기 바랍니다."
7,저소득·장애인 구분모집 증빙서류는 언제까지 제출해야하나요?,"수험생이 저소득층 구분모집 또는 장애인 구분모집에 적합한 응시대상자인지 저희 인사혁신처가 직접 보건복지부, 국가보훈처, 관할 시·군·구청 등의 관계기관에서 조회·확인하고 있습니다. 원서접수 시에 이름과 주민번호를 정확하게 입력하셨다면 별도의 증빙서류를 제출하실 필요는 없습니다.(저소득층 구분모집 합격자 중 응시자격 요건 기간 내에 군복무 또는 교환학생으로 인하여 중단사유가 있는 합격자의 경우는 제외)  다만, 관계기관 조회ㆍ확인이 되지 않을 경우 수험생 본인에게 별도로 연락할 예정이며 이 경우 인사혁신처에서 안내한 기간 내에 안내한 서류(장애인증명서, 수급자증명서, 한부모가족증명서, 사회보장급여결정통지서 등)에 대하여 꼭 제출하셔야 합격이 취소되지 않으니 참고하시기 바랍니다."
8,경쟁률은 언제 발표되나요?,"2025년도부터 원서접수 결과는 1일 단위 원서접수 결과를 공개하고 있으며, 최종 결과는 원서접수 마감 다음날 국가공무원채용시스템 등을 통해 공개합니다."
9,시험장소 선택이 가능한가요? 거주지와 달라도 상관이 없나요?,"먼저 필기시험 지역은 17개 시·도로 구성되고 있습니다.([시험공고/공지사항]-'2019년도 국가공무원 7급 공채 필기시험 시도별 시험장소 예정지 안내' 게시물 참고)  응시원서 접수를 할 때, 주민등록지 및 현재 거주지 등과 관계없이 17개 시·도 가운데 원하는 지역을 선택할 수 있어요.  다만, 지역 내 시험장(일선 중·고등학교)의 경우 모집단위별로 무작위로 부여된 응시번호에 따라 배정되기 때문에수험생이 시험장까지 선택하거나 변경할 수는 없어요. 공정한 시험 운영을 위한 배정방식인 만큼 수험생 한명 한명의 거주지를 고려할 수 없는 부분을 이해해 주시면 감사드리겠습니다!"
10,9급 공채 지역구분모집 응시요건은 어떻게 되나요?,"우선 국가공무원 지역구분모집에 최종 합격하실 경우 해당 지역에 소재한 중앙행정기관의 소속기관에 임용되고, 5년 이내 다른 지역 또는 타 기관으로의 전보가 금지됩니다. 2022년도 국가공무원 지역구분모집은 원서접수일이나 필기시험일과는 관계없이 2022.1.1.을 반드시 포함하여 1월 1일 전 또는 후로 연속하여 3개월 이상 해당 지역에 주민등록이 되어있어야 응시할 수 있습니다. 단, 서울·인천·경기지역은 주민등록지와 관계없이 누구나 응시할 수 있습니다. 참고로 국가공무원 지역구분모집의 응시요건과 지방공무원 시험의 거주지 제한요건이 다르니 이 점 꼭 유의하시기 바랍니다."
11,접수증 및 응시표 출력은 언제부터 가능한가요?,"접수증은 원서접수 취소 마감일 18시 부터, 응시표는 시험장소 공고일로부터 시험일이 속한 연도의 말까지 언제든지 출력하실 수 있어요. [국가공무원채용시스템]-[마이페이지]-[원서접수 내역]에서 '접수증 출력, 응시표 출력' 버튼을 눌러주세요!"
12,가산점 등록기간은 언제인가요? 증빙서류를 제출해야되나요?,"7급 공채시험에서 가산점을 받고자 하는 자는 제1차시험 시행(가산대상 자격증은 제2차시험)'전일'까지 가산점 대상 자격을 취득했다면 가산점 등록기간 내(제1차시험(가산대상 자격증은 제2차시험) 시행일을 포함한 3일),9급 공채시험에서 가산점을 받고자 하는 자는 필기시험 시행'전일'까지 가산점 대상 자격을 취득했다면 가산점 등록기간 내(필기시험 시행일을 포함한 3일),국가공무원채용시스템에 가산점을 등록해야 합니다.  수험생이 입력한 내용을 토대로 저희 인사혁신처가 관계기관에 직접 가산점 부여요건을 조회·확인하기 때문에별도의 증빙서류를 제출하실 필요는 없습니다."
13,원서접수 사진! 어떤 사진을 사용해야 하나요?,"시험 당일, 응시원서 상의 사진과 실물이 많이 달라서 본인 확인이 어려울 경우에는시험시간 중 또는 종료 후, 양쪽 엄지손가락의 지문 날인과 신분확인용 개인정보 제공동의서 등을 작성하게 되어소중한 시험시간을 허비하거나 번거로운 일이 생길 수도 있습니다.  때문에 수험생의 소중한 시험시간을 보장하기 위해서 단색 배경의 이마와 귀를 가리지 않은 6개월 이내의 사진(JPG, PNG)을 권장하고 있습니다.  다만 이미 찍어두신 사진으로 본인 식별이 명확하게 가능하다면 권장사항들을 엄격하게 갖추지 않아도 해당 사진을 사용하셔도 됩니다! * 이 경우에는 이마와, 귀를 가린 사진도 사용 가능  참고로 원서접수 시에 등록하신 사진은 접수 취소기간까지만 수정이 가능하고 이후에는 면접시험까지 그대로 사용되니 유의해주세요!  * 군복 등 제복착용 , 90도 누운 사진, 희미한 사진(역광 포함), 얼굴 일부만 보이거나 전혀 안 보이는 사진,  상반신 전체를 사용하여 얼굴이 너무 작은 사진, 신분증을 재촬영하여 사용한 사진, 좌우로 몸을 돌린 사진,  한 방향만 축소한 사진 등은 사용할 수 없습니다."
