question_id,question,primary_faq_ids,allowed_supporting_faq_ids,evaluation_intent
aq1,원서 접수 끝난 뒤에 응시지역이나 선택과목을 바꿀 수 있나요?,253,4|255,접수 종료 후 수정 가능 범위를 정확히 답하는지 평가
aq2,원서 접수를 취소하면 응시수수료는 바로 환불되나요?,249,253,환불 시점과 예외 사항을 근거 기반으로 설명하는지 평가
aq3,응시표는 언제부터 다시 출력할 수 있어요? 시험 당일 잃어버려도 괜찮나요?,252,11|272,재출력 가능 시점과 미지참 시 응시 가능 여부를 함께 답하는지 평가
aq4,친구랑 같이 접수하면 시험장에서 앞뒤 번호로 붙을 수 있나요?,250,5,응시번호 무작위 부여 원리를 사용자 표현으로 잘 설명하는지 평가
aq5,서울 살아도 다른 지역 시험장 선택해서 볼 수 있나요?,9,67|68,거주지와 응시지역의 관계 및 시험장 선택 범위를 정확히 답하는지 평가
aq6,영어 성적이 아직 없는데 일단 원서부터 접수하고 나중에 등록해도 되나요?,289,218|223|288,원서접수 가능 여부와 영어성적 등록 시점을 빠짐없이 설명하는지 평가
aq7,토익 성적 유효기간이 지났는데 예전에 본 점수도 쓸 수 있나요?,223,288|289,사전등록 여부에 따른 인정 가능 조건을 정확히 설명하는지 평가
aq8,장애인 편의지원은 언제 어떻게 신청해요? 진단서가 꼭 필요한가요?,281,7|112|113,신청 기간 절차와 진단서가 필요한 예외를 구분해 답하는지 평가
aq9,시험 보러 갈 때 꼭 챙겨야 하는 게 뭐예요?,77,252|272|13,신분증 응시표 필기구 등 핵심 지참물을 빠짐없이 안내하는지 평가
aq10,접수한 뒤에 개명되면 시험 볼 때 어떻게 해야 하나요?,6,28,개명 시점에 따른 처리 절차와 시험장 지참 서류를 정확히 설명하는지 평가
