question,expected_row_id,category
접수를 취소하면 수수료를 돌려받을 수 있나요?,12,일상표현
응시수수료 반환 기준은 무엇인가요?,12,원문유사
직렬별 가산대상 자격증은 어디서 확인하나요?,3,일상표현
원서접수할 때 주의해야 할 점이 있나요?,4,일상표현
같이 접수하면 수험번호가 붙어서 나오나요?,5,일상표현
개명 후 원서접수는 어떻게 처리해야 하나요?,6,일상표현
저소득·장애인 구분모집 서류는 따로 내야 하나요?,7,일상표현
경쟁률은 언제 공개되나요?,8,일상표현
시험장소를 내가 직접 고를 수 있나요?,9,일상표현
9급 지역구분모집 응시요건이 궁금합니다.,10,원문유사
응시표는 언제부터 출력할 수 있나요?,11,일상표현
가산점 등록기간과 증빙서류 제출 여부를 알려주세요.,12,복합질문
원서접수 사진은 어떤 규격을 써야 하나요?,13,일상표현
입영통지서를 받았는데 입영기일 연기는 어떻게 하나요?,14,일상표현
회사 다니는 중인데 공무원 합격하면 언제 사표를 내야 하나요?,15,일상표현
7급 합격 후 신규자 교육 일정은 어떻게 확인하나요?,16,일상표현
5급 합격 뒤 부처배치는 개인 희망대로 되나요?,17,복합질문
7급 일반행정직은 희망 부처에 갈 수 있나요?,18,일상표현
군 장학생 복무 중인데 7년 임용유예가 가능한가요?,19,일상표현
임용유예 중에 휴학도 가능한지 궁금합니다.,20,일상표현
면접에서 봉사활동 경험이 합격에 영향을 많이 주나요?,41,일상표현
장애인 모집에서 선발예정인원을 못 채우면 어떻게 되나요?,42,복합질문
9급 면접 예비자 순위는 무슨 뜻인가요?,43,일상표현
공채 면접시험의 합격자 결정 방식이 바뀌었다는데 무엇이 달라졌나요?,44,원문유사
거주지 요건을 못 맞춘 상태로 필기합격하면 합격이 취소되나요?,45,복합질문
필기시험 합격할 때 자격증 사본 같은 서류를 아직도 내야 하나요?,46,일상표현
면접 포기등록을 할 때 제출해야 하는 서류가 있나요?,47,일상표현
면접을 안 볼 거면 포기등록을 꼭 해야 하나요?,48,일상표현
실기시험에서 부정약물을 쓰면 어떻게 처리되나요?,49,일상표현
교정직이나 철도경찰직의 필기합격 기준은 일반 직렬과 다른가요?,50,복합질문
5급 교정직도 실기시험을 봐야 하나요?,51,일상표현
교정·철도경찰직의 신체검사 규정은 아직도 있나요?,52,일상표현
필기 답안지를 직접 열람하는 방법이 있나요?,53,일상표현
필기성적이 이상한데 이의신청은 어떻게 하나요?,54,일상표현
필기성적 공개 기간을 놓쳤는데 나중에 다시 볼 수 있나요?,55,일상표현
필기시험 성적은 언제 공개하나요?,56,일상표현
필기성적을 미리 공개하면 면접에 불리하지 않나요?,57,복합질문
필기성적 사전공개 때문에 합격 발표가 늦어지나요?,58,일상표현
경채시험도 필기성적을 미리 공개하나요?,59,일상표현
합격선을 정하는 시험관리위원회는 누가 구성하나요?,60,일상표현
공무원 시험에서 과락 기준은 어떻게 적용되나요?,61,원문유사
화장실 이용을 왜 시험 중에 허용하나요?,65,일상표현
필기시험장으로 중학교를 쓰지 말아 달라는 건 반영되나요?,66,일상표현
응시지역과 실제 발령지역은 같은가요?,68,일상표현
시험 도중에 감독관이 신분확인을 하면 불편한데 왜 하나요?,69,일상표현
기출문제는 어디서 확인할 수 있나요?,71,일상표현
정답이 없거나 복수 정답 같을 때 이의신청은 어떻게 하나요?,72,복합질문
시험 중 물이나 간식을 먹어도 되나요?,75,일상표현
시험 당일에 꼭 챙겨야 하는 물건이 뭔가요?,77,일상표현
기한이 지난 여권으로도 응시할 수 있나요?,78,일상표현
필기시험 도중에 퇴실할 수 있나요?,79,일상표현
