question_id,question,question_type,evaluation_intent,target_answer_no,target_answer,supporting_answer_nos,groundedness,correctness,completeness,hallucination,overall,notes
q001,직렬별 가산대상 자격증은 어디에서 확인하나요?,원문유사,가산대상 자격증 확인 경로 안내,3,직렬별 가산대상 자격증 종류는 공무원임용시험령 별표 11과 별표 12에서 확인할 수 있습니다.,,,,,,,
q002,원서 접수 끝나고 나서 응시지역이나 선택과목을 바꿀 수 있나요?,복합질문,접수 완료 후 수정 가능 범위 안내,4,접수기간이 종료되면 추가 접수는 불가능하고 응시직렬 응시지역 선택과목 지방인재 여부 등도 수정할 수 없습니다.,,,,,,,
q003,결제까지 했는데 원서가 제대로 접수된 건지 어디서 확인해요?,일상표현,원서접수 완료 여부 확인 방법 안내,4,국가공무원채용시스템의 원서접수-응시원서 확인 화면에서 결제여부가 결제완료로 표시되면 정상 접수된 것입니다.,,,,,,,
q004,접수하고 나서 개명되면 시험 볼 때 뭘 챙겨가야 하나요?,복합질문,개명 이후 시험장 본인확인 절차 안내,6,원서 제출 후 개명신고가 처리됐다면 시험장에 새 신분증과 성명 정정을 확인할 수 있는 주민등록초본을 지참해야 합니다.,,,,,,,
q005,개명 판결은 받았는데 주민등록 이름은 아직 안 바뀌었어요. 원서 이름은 뭘로 써야 하나요?,조건형,개명 처리 시점별 원서 성명 기준 안내,6,원서에 쓰는 성명은 주민등록에 있는 성명을 기준으로 하므로 주민등록상 개명이 반영되지 않았다면 이전 성명을 사용해야 합니다.,,,,,,,
q006,저소득층이나 장애인 구분모집은 증빙서류를 무조건 따로 내야 하나요?,일상표현,구분모집 증빙서류 제출 필요 여부와 예외 안내,7,원서접수 시 정보를 정확히 입력했다면 보통 별도 증빙서류를 제출할 필요는 없습니다. 다만 관계기관 조회가 되지 않거나 일부 예외 사유가 있으면 안내된 기간에 서류를 제출해야 합니다.,,,,,,,
q007,경쟁률은 접수 끝나자마자 바로 공개되나요?,일상표현,경쟁률 공개 시점 안내,8,원서접수 결과는 1일 단위로 공개되며 최종 경쟁률은 원서접수 마감 다음날 국가공무원채용시스템 등을 통해 공개됩니다.,,,,,,,
q008,사는 곳이랑 다른 지역 시험장으로 지원할 수 있나요?,일상표현,응시지역 선택 가능 범위 설명,9,주민등록지나 현재 거주지와 관계없이 17개 시도 가운데 원하는 필기시험 지역을 선택할 수 있습니다.,,,,,,,
q009,시도는 골라도 실제 학교 시험장까지 내가 정할 수 있나요?,복합질문,응시지역 선택과 시험장 배정 구분 안내,9,시험 지역은 선택할 수 있지만 실제 시험장은 모집단위별로 무작위 부여된 응시번호에 따라 배정되므로 수험생이 직접 선택하거나 변경할 수 없습니다.,,,,,,,
q010,9급 지역구분모집은 거주지 조건이 정확히 어떻게 되나요?,원문유사,지역구분모집 거주요건 설명,10,9급 지역구분모집은 해당 연도 1월 1일을 포함해 전후로 연속 3개월 이상 해당 지역에 주민등록이 되어 있어야 응시할 수 있습니다. 다만 서울 인천 경기 지역은 주민등록지와 관계없이 누구나 응시할 수 있습니다.,,,,,,,
q011,접수증이랑 응시표는 각각 언제부터 출력할 수 있나요?,복합질문,접수증과 응시표 출력 시점 비교,11,접수증은 원서접수 취소 마감일 18시부터 출력할 수 있고 응시표는 시험장소 공고일부터 그 해 말까지 출력할 수 있습니다.,251,,,,,,
q012,응시표를 잃어버렸는데 시험 전에 다시 출력할 수 있나요?,일상표현,응시표 재출력 가능 여부 안내,11,응시표는 시험장소 공고일부터 시험일이 속한 연도 말까지 언제든 다시 출력할 수 있습니다.,251,,,,,,
q013,가산점은 언제까지 등록해야 하고 서류도 따로 제출해야 하나요?,복합질문,가산점 등록기한과 증빙서류 필요 여부 안내,12,가산점 대상 자격은 시험 전일까지 취득해야 하며 시험일을 포함한 3일 안에 국가공무원채용시스템에 등록해야 합니다. 관계기관이 직접 조회하므로 보통 별도 증빙서류는 제출하지 않습니다.,3,,,,,,
q014,원서 사진은 꼭 증명사진처럼 엄격해야 하나요?,일상표현,원서 사진 규격과 허용 범위 설명,13,단색 배경에 이마와 귀를 가리지 않은 최근 6개월 이내 사진을 권장하지만 본인 식별이 명확하다면 일부 권장사항을 엄격히 충족하지 않아도 사용할 수 있습니다.,,,,,,,
q015,사진을 아무거나 올리면 시험장에서 문제가 생길 수도 있나요?,조건형,부적절한 사진 사용 시 불이익 안내,13,응시원서 사진과 실물이 크게 다르면 시험 중이나 종료 후 추가 본인확인 절차가 진행되어 시험시간을 허비하거나 번거로움이 생길 수 있습니다.,,,,,,,
q016,합격하고 임용 절차 진행 중에 입영통지서를 받으면 입영 연기를 신청할 수 있나요?,조건형,채용 합격자의 입영기일 연기 절차 안내,14,징집 또는 소집통지서를 받은 채용시험 합격자가 입영연기를 원하면 통지서를 발부한 지방병무청에 입영기일 연기신청을 해야 하며 가능 기간은 최대 2년입니다.,,,,,,,
q017,직장 다니는 중인데 공무원 임용되면 사표는 언제 내는 게 맞나요?,일상표현,현직 재직자의 퇴사 시점 안내,15,배치받은 부처에서 임용일을 통보받은 뒤 그 임용일 전일까지 사표가 수리되도록 조치하면 됩니다. 임용 전 교육훈련이나 실무수습이 있으면 수습기관장과 상의해 시기를 정해야 합니다.,,,,,,,
q018,시험 당일 꼭 챙겨가야 하는 준비물이 뭐예요?,일상표현,필수 지참물 안내,77,시험 당일에는 응시표와 신분증 그리고 컴퓨터용 흑색사인펜을 지참해야 합니다. 필요하면 수정테이프와 계산 기능이 없는 시계도 가져갈 수 있습니다.,,,,,,,
q019,응시표 없이 가도 시험 볼 수 있나요? 신분증만 있으면 되나요?,복합질문,응시표 재출력 여부와 필수 지참물 확인,77,응시표와 신분증은 모두 지참해야 합니다. 응시표를 잃어버렸다면 시험 전에 다시 출력해서 가져가는 것이 맞습니다.,251,,,,,,
