question_id,question,question_type,evaluation_intent,target_answer_no,notes
q001,직렬별 가산대상 자격증은 어디에서 확인하나요?,원문유사,가산대상 자격증 확인 경로 안내,3,
q002,원서 접수 끝나고 나서 응시지역이나 선택과목을 바꿀 수 있나요?,복합질문,접수 완료 후 수정 가능 범위 안내,4,
q003,결제까지 했는데 원서가 제대로 접수된 건지 어디서 확인해요?,일상표현,원서접수 완료 여부 확인 방법 안내,4,
q004,접수하고 나서 개명되면 시험 볼 때 뭘 챙겨가야 하나요?,복합질문,개명 이후 시험장 본인확인 절차 안내,6,
q005,개명 판결은 받았는데 주민등록 이름은 아직 안 바뀌었어요. 원서 이름은 뭘로 써야 하나요?,조건형,개명 처리 시점별 원서 성명 기준 안내,6,
q006,저소득층이나 장애인 구분모집은 증빙서류를 무조건 따로 내야 하나요?,일상표현,구분모집 증빙서류 제출 필요 여부와 예외 안내,7,
q007,경쟁률은 접수 끝나자마자 바로 공개되나요?,일상표현,경쟁률 공개 시점 안내,8,
q008,사는 곳이랑 다른 지역 시험장으로 지원할 수 있나요?,일상표현,응시지역 선택 가능 범위 설명,9,
q009,시도는 골라도 실제 학교 시험장까지 내가 정할 수 있나요?,복합질문,응시지역 선택과 시험장 배정 구분 안내,9,
q010,9급 지역구분모집은 거주지 조건이 정확히 어떻게 되나요?,원문유사,지역구분모집 거주요건 설명,10,
q011,접수증이랑 응시표는 각각 언제부터 출력할 수 있나요?,복합질문,접수증과 응시표 출력 시점 비교,11,
q012,응시표를 잃어버렸는데 시험 전에 다시 출력할 수 있나요?,일상표현,응시표 재출력 가능 여부 안내,11,
q013,가산점은 언제까지 등록해야 하고 서류도 따로 제출해야 하나요?,복합질문,가산점 등록기한과 증빙서류 필요 여부 안내,12,
q014,원서 사진은 꼭 증명사진처럼 엄격해야 하나요?,일상표현,원서 사진 규격과 허용 범위 설명,13,
q015,사진을 아무거나 올리면 시험장에서 문제가 생길 수도 있나요?,조건형,부적절한 사진 사용 시 불이익 안내,13,
q016,합격하고 임용 절차 진행 중에 입영통지서를 받으면 입영 연기를 신청할 수 있나요?,조건형,채용 합격자의 입영기일 연기 절차 안내,14,
q017,직장 다니는 중인데 공무원 임용되면 사표는 언제 내는 게 맞나요?,일상표현,현직 재직자의 퇴사 시점 안내,15,
q018,시험 당일 꼭 챙겨가야 하는 준비물이 뭐예요?,일상표현,필수 지참물 안내,77,
q019,응시표 없이 가도 시험 볼 수 있나요? 신분증만 있으면 되나요?,복합질문,응시표 재출력 여부와 필수 지참물 확인,77,
q020,기한 지난 여권밖에 없는데 이걸로도 시험장 입실이 되나요?,일상표현,만료 여권의 신분증 인정 여부 안내,78,
q021,유효한 신분증이 없으면 시험 자체를 못 보나요 아니면 다른 절차로 볼 수 있나요?,복합질문,신분증 미지참 시 응시 가능 여부와 대체 절차 안내,78,
q022,필기시험 보다가 배탈 나면 중간에 나갈 수 있나요?,일상표현,시험 중 퇴실 가능 여부와 조건 안내,79,
q023,화장실 때문에 잠깐 나가면 다시 들어와서 계속 볼 수 있나요?,복합질문,재입실 가능 여부와 퇴실 후 조치 안내,79,
q024,7급 감사직 회계학이랑 세무직 회계학 문제는 서로 다른가요?,일상표현,동일 과목 시험문제 동일 여부 안내,226,
q025,직렬별 시험과목은 어디에서 확인할 수 있나요?,원문유사,채용분야별 시험과목 확인 경로 안내,227,
q026,국공립대나 교육기관 행정직으로 가려면 어떤 시험을 준비해야 하나요?,일상표현,교육행정직 지원 경로 안내,228,
q027,9급 사회복지직은 왜 국가직 공채 계획에 안 보이나요?,일상표현,국가직 9급 사회복지직 미선발 이유 안내,229,
q028,9급 국제통상직은 왜 선발을 안 하나요?,일상표현,9급 국제통상 직류 미선발 이유 설명,230,
q029,공채 선발인원은 보통 언제쯤 확정돼서 공고되나요?,원문유사,선발예정 직렬 및 인원 공고 시점 안내,231,
q030,인사혁신처가 시행하는 시험 정보는 어디서 한 번에 볼 수 있나요?,일상표현,인사혁신처 주관 시험정보 확인 경로 안내,232,
q031,국가직뿐 아니라 다른 기관 채용시험 정보도 한 번에 모아보는 사이트가 있나요?,일상표현,통합 채용정보 확인 경로 안내,233,
q032,지방직 공무원 시험은 인사혁신처에 문의하면 되나요?,조건형,지방공무원 시험 문의처 구분 안내,234,
q033,고졸자만 따로 볼 수 있는 공무원 시험이 있나요?,일상표현,고졸 대상 시험 존재 여부와 예외 제도 안내,240,
q034,부처별 9급 경력경쟁채용도 공채랑 같은 과목으로 준비하면 되나요?,조건형,경채와 공채 시험과목 차이 안내,241,
q035,중증장애인만 지원할 수 있는 별도 시험도 있나요?,일상표현,중증장애인 대상 경력경쟁채용 안내,242,
q036,경력경쟁채용시험의 절차나 합격 기준은 어디 법이나 사이트에서 확인하나요?,원문유사,경채 시험 기준 확인 경로 안내,243,
q037,9급 공채도 특정 자격증이 필요하거나 거주지 제한이 걸리는 경우가 있나요?,복합질문,응시에 필요한 자격증과 지역 제한 예외 안내,244,
q038,5급 공채에서 영어 과목을 대신하는 시험은 어떤 걸 인정해주나요?,원문유사,영어 대체 시험 종류와 인정 범위 안내,247,
q039,기초생활수급자면 응시수수료를 안 내도 되나요?,일상표현,저소득층 응시수수료 면제 여부 안내,248,
q040,원서 접수를 취소하면 환불은 바로 되나요? 중복결제면 얼마나 걸리나요?,복합질문,응시수수료 환불 시점과 중복결제 예외 안내,249,
q041,친구랑 같이 접수하면 응시번호가 붙어서 나오나요?,일상표현,응시번호 무작위 부여 원리 안내,250,
q042,응시표는 시험 전에 언제든 다시 출력할 수 있나요?,일상표현,응시표 출력 기간과 재출력 가능 여부 안내,251,
q043,답안 수정할 때 수정액이나 수정스티커를 써도 되나요?,일상표현,수정액 및 수정스티커 사용 가능 여부 안내,276,
q044,답안을 잘못 마킹했으면 새 답안지를 받아야 하나요?,일상표현,답안 수정 방법 안내,277,
q045,답안지를 점만 찍듯이 약하게 표시하면 OCR이 제대로 읽나요?,일상표현,잘못된 답안 표기 방식의 위험 안내,278,
q046,연필이나 빨간펜으로 예비마킹해두고 나중에 사인펜으로 다시 칠해도 되나요?,조건형,예비마킹 금지 사유 안내,279,
q047,가산점 자격증은 원서 접수일까지 따야 인정되나요?,조건형,자격증 가산점 인정 시점과 등록기한 안내,280,
q048,장애인 편의지원은 언제 신청하고 어떤 경우에 진단서를 내야 하나요?,복합질문,장애인 편의지원 신청 절차와 진단서 필요 예외 안내,281,
q049,영어성적 사전등록은 언제 어디서 하나요?,원문유사,영어성적 사전등록 시기와 경로 안내,288,
q050,영어능력검정시험 성적은 언제까지 취득한 것까지 인정되고 성적표는 따로 내야 하나요?,복합질문,영어성적 인정기준과 제출 방식 안내,289,
