question_id,question,evaluation_intent,groundedness,completeness,hallucination,overall,note
aq1,원서 접수 끝난 뒤에 응시지역이나 선택과목을 바꿀 수 있나요?,직접 절차 질문,2,2,1,pass,
aq2,원서 접수를 취소하면 응시수수료는 바로 환불되나요?,시점 포함 질문,2,2,1,pass,
aq3,응시표는 언제부터 다시 출력할 수 있어요? 시험 당일 잃어버려도 괜찮나요?,복합 질문,2,2,1,pass,
aq4,친구랑 같이 접수하면 시험장에서 앞뒤 번호로 붙을 수 있나요?,구어체 질문,2,2,1,pass,
aq5,서울 살아도 다른 지역 시험장 선택해서 볼 수 있나요?,생활형 표현,2,2,1,pass,
aq6,영어 성적이 아직 없는데 일단 원서부터 접수하고 나중에 등록해도 되나요?,조건형 질문,2,2,1,pass,
aq7,토익 성적 유효기간이 지났는데 예전에 본 점수도 쓸 수 있나요?,기간 + 사전등록 질문,2,2,1,pass,
aq8,장애인 편의지원은 언제 어떻게 신청해요? 진단서가 꼭 필요한가요?,절차 + 예외 질문,2,2,1,pass,
aq9,시험 보러 갈 때 꼭 챙겨야 하는 게 뭐예요?,기본 안내 질문,2,1,1,fail,"대표 근거 문서를 놓쳐 신분증·응시표 등 핵심 지참물 안내가 누락되었고, 그 결과 completeness가 저하됨"
aq10,접수한 뒤에 개명되면 시험 볼 때 어떻게 해야 하나요?,예외 처리 질문,2,2,1,pass,
